Iteracion 185, flagCambio=1971
Iteracion 186, flagCambio=1880
Iteracion 187, flagCambio=1799
Iteracion 188, flagCambio=1717
Iteracion 189, flagCambio=1644
Iteracion 190, flagCambio=1580
Iteracion 191, flagCambio=1515
Iteracion 192, flagCambio=1447
Iteracion 193, flagCambio=1375
Iteracion 194, flagCambio=1313
Iteracion 195, flagCambio=1253
Iteracion 196, flagCambio=1191
Iteracion 197, flagCambio=1131
Iteracion 198, flagCambio=1066
Iteracion 199, flagCambio=1003
Iteracion 200, flagCambio=946
Iteracion 201, flagCambio=888
Iteracion 202, flagCambio=830
Iteracion 203, flagCambio=776
Iteracion 204, flagCambio=731
Iteracion 205, flagCambio=690
Iteracion 206, flagCambio=650
Iteracion 207, flagCambio=611
Iteracion 208, flagCambio=573
Iteracion 209, flagCambio=537
Iteracion 210, flagCambio=501
Iteracion 211, flagCambio=465
Iteracion 212, flagCambio=431
Iteracion 213, flagCambio=398
Iteracion 214, flagCambio=366
Iteracion 215, flagCambio=335
Iteracion 216, flagCambio=304
Iteracion 217, flagCambio=274
Iteracion 218, flagCambio=245
Iteracion 219, flagCambio=217
Iteracion 220, flagCambio=190
Iteracion 221, flagCambio=164
Iteracion 222, flagCambio=138
Iteracion 223, flagCambio=114
Iteracion 224, flagCambio=90
Iteracion 225, flagCambio=68
Iteracion 226, flagCambio=48
Iteracion 227, flagCambio=29
Iteracion 228, flagCambio=13
Iteracion 229, flagCambio=2
Iteracion 230, flagCambio=0
Result: 930:231
Time: 24.292631
